Rank,Guess,NumPatterns,P_solve2
468,15+32=47,1527,0.08615923
469,80-24=56,1527,0.08615923
470,28+19=47,1526,0.08610280
471,95-67=28,1526,0.08610280
472,86-57=29,1526,0.08610280
473,32+15=47,1524,0.08598996
474,80-21=59,1524,0.08598996
475,92-78=14,1524,0.08598996
476,16+43=59,1523,0.08593353
477,37+28=65,1522,0.08587711
478,80-41=39,1522,0.08587711
479,16+27=43,1522,0.08587711
480,89-16=73,1521,0.08582068
481,89-25=64,1521,0.08582068
482,45+18=63,1521,0.08582068
483,80-51=29,1520,0.08576426
484,37+12=49,1520,0.08576426
485,19+38=57,1520,0.08576426
486,98-25=73,1520,0.08576426
487,28+37=65,1520,0.08576426
488,27+31=58,1519,0.08570784
489,19+28=47,1519,0.08570784
490,43+19=62,1518,0.08565141
491,80-26=54,1518,0.08565141
492,89-14=75,1517,0.08559499
493,21+38=59,1517,0.08559499
494,42+36=78,1517,0.08559499
495,18+47=65,1516,0.08553857
496,80-54=26,1516,0.08553857
497,13+46=59,1516,0.08553857
498,15+28=43,1516,0.08553857
499,90-23=67,1516,0.08553857
500,70-16=54,1515,0.08548214
501,98-73=25,1515,0.08548214
502,15+24=39,1515,0.08548214
503,58+14=72,1514,0.08542572
504,28+39=67,1514,0.08542572
505,48+19=67,1514,0.08542572
506,46+29=75,1513,0.08536929
507,70-54=16,1512,0.08531287
508,15+48=63,1512,0.08531287
509,94-76=18,1512,0.08531287
510,12+57=69,1511,0.08525645
511,46+32=78,1511,0.08525645
512,18+25=43,1511,0.08525645
513,53+21=74,1511,0.08525645
514,49+13=62,1511,0.08525645
515,25+39=64,1511,0.08525645
516,38+14=52,1511,0.08525645
517,80-13=67,1511,0.08525645
518,80-56=24,1511,0.08525645
519,19+26=45,1510,0.08520002
520,63+21=84,1510,0.08520002
521,48+17=65,1510,0.08520002
522,89-64=25,1510,0.08520002
523,63+24=87,1510,0.08520002
524,64+23=87,1510,0.08520002
525,51+28=79,1510,0.08520002
526,21+48=69,1509,0.08514360
527,13+49=62,1508,0.08508717
528,54+29=83,1508,0.08508717
529,51+23=74,1508,0.08508717
530,70-56=14,1508,0.08508717
531,95-68=27,1508,0.08508717
532,54+32=86,1507,0.08503075
533,23+45=68,1507,0.08503075
534,90-27=63,1507,0.08503075
535,39+28=67,1507,0.08503075
536,17+32=49,1506,0.08497433
537,18+54=72,1506,0.08497433
538,96-84=12,1506,0.08497433
539,48+15=63,1506,0.08497433
540,14+58=72,1506,0.08497433
541,56+31=87,1505,0.08491790
542,89-73=16,1505,0.08491790
543,36+42=78,1505,0.08491790
544,54+19=73,1504,0.08486148
545,54+27=81,1503,0.08480506
546,48+23=71,1503,0.08480506
547,168/7=24,1503,0.08480506
548,37+24=61,1503,0.08480506
549,26+19=45,1503,0.08480506
550,14+25=39,1503,0.08480506
551,53+19=72,1502,0.08474863
552,72+14=86,1502,0.08474863
553,89-74=15,1502,0.08474863
554,57+12=69,1502,0.08474863
